Japanese,English
「さよなら」その口癖は,"“Goodbye”, that’s your favorite word"
誰譲りなの？,But who did you get it from?
会うたびに　寂しくなるのよ少し,"The more I see you, the more I start missing you a lil extra"
手を振るだけで,Waving at you
消えてしまうようで,And it feels like you are gonna be gone somewhere
私が描きすぎてる,A picture-perfect future I have in my heart
明るい明日に　君も居る,And you are in it too
ガラスの鳥の背中に,I’m on a bird which is made of glass
またがる私,And I see you smile
笑う君と天使,Next to angels
昨日には無かったもの,"Things that weren’t here yesterday,"
見せてあげたい,How could I show you everything
会いたい,I wanna see you today
寝癖がある君の方が,"With your messy bed hair,"
何だか生きているって感じる,"That’s more like you, living to the fullest"
まだ幼い顔つきで怒る,That adorable face you make when you get mad
その口の形も愛おしい,I can’t stop loving even the frowning mouth of yours
孤独を映す影や歩幅,Loneliness reflected over the shadows and your steps
スピード　取り戻してあげたい,How could I bring your pace back
潰れそうな　何かがあるなら,"If there’s something crumbling in you,"
後ろから抱きしめる,Let me be the one to give you a big hug from behind
許されるまで　強く,Holding you as tight as you want
「ありがとう」その台詞には,"You say “Thanks”,"
不安も過る　不思議だね,and I wonder why it makes my heart so uneasy
素敵な言葉なんだと,Such a wonderful word it is
教わったはずなのに,As they taught me
消えてしまいそうで,But it feels like you are going far away
あの水たまりを越えられたら,"If I could go over the puddle,"
きっと　これからも,"Now and forever,"
会えるんだ,We would be seeing again
許されない願い事が,There’s a forbitten wish to have
あるとは信じたくはないんだよ,I don’t wanna believe
つま先立つ　沈まないように,"Standing on my tiptoes, trying not to sink"
それなのに何故だろう　君が遠い,How come you are still far away
伸びてく影が少しだけ,When the shadow between us got bigger and shivering
震えて　何か言おうとしていた,I know you were trying to say something
通り雨は　君の涙さえ,The passing rain washed your tears away so
私に見せなかったの？,That I didn’t have to know?
漂う予感に,Making sure the hunch
惑わされてしまわないように,Doesn’t ruin us
信じてる　信じてる,"I trust, yes, I trust"
君の言う矛盾に,"Even in your contradiction,"
隠れている本当の気持ちに,I can feel what you truly feel
気付いている　気付いているから,"I feel it, yes, I feel it"
寝癖がある君の方が,"With your messy bed hair,"
何だか生きているって感じる,"That’s more like you, living to the fullest"
まだ幼い顔つきで怒る,That adorable face you make when you get mad
その口の形も愛おしい,I can’t stop loving even the frowning mouth of yours
孤独を映す影や歩幅,Loneliness reflected over the shadows and your steps
スピード　取り戻してあげたい,How could I bring your pace back
潰れそうな　何かがあるなら,"If there’s something crumbling in you,"
後ろから抱きしめる,let me be the one to give you a big hug from behind
許されるまで　強く,Holding you as tight as you want
