title,meaning,alternative_meanings,readings,index
さよなら,goodbye,"goodbye; so long; farewell; saying goodbye to (e.g. life as a bachelor); putting an end to; parting with; farewell (performance, party, etc.); final; last; game-winning (e.g. hit)",,1
は,indicates sentence topic,indicates sentence topic; indicates contrast with another option (stated or unstated); adds emphasis,,3
なの,that's the way it is,that's the way it is; yes; is that so?; is it?,,5
たびに,each time,each time; every time; whenever (something happens); on the occasion of,,6
なる,to become,to become; to get; to grow; to turn; to reach; to attain; to result in; to turn out; to end up; to prove (to be); to consist of; to be composed of; to be made up of; to be completed; to be realized; to succeed; to be attained; to be accomplished; to change (into); to turn (into); to transform; to come (to do); to begin (to do); to grow (to do); to come to; to amount to; to add up to; to make; to play (the part of); to act as; to be used for; to be useful for; to serve as; to be promoted; to do ...; Naru,,8
の,indicates possessive,"indicates possessive; nominalizes verbs and adjectives; substitutes for ""ga"" in subordinate phrases; (at sentence-end, falling tone) indicates a confident conclusion; (at sentence-end) indicates emotional emphasis; (at sentence-end, rising tone) indicates question",,9
よ,hey,hey; you; hey; hey; hold on; yo; hey,,10
だけ,only,only; just; merely; simply; no more than; nothing but; alone; as much as; to the extent of; enough to,,12
で,at,at; in; at; when; by; with; and then; so; and; then; let me tell you; don't you know,,13
しまう,to finish,"to finish; to stop; to end; to put an end to; to bring to a close; to close (a business, etc.); to close down; to shut down; to shut up; to put away; to put back; to keep; to store; to do completely; to finish; to do accidentally; to do without meaning to; to happen to do",,15
よう,appearing ...,appearing ...; looking ...; way to ...; method of ...ing; form; style; design; like; similar to; thing (thought or spoken),,16
が,indicates sentence subject (occasionally object),indicates sentence subject (occasionally object); indicates possessive (esp. in literary expressions); but; however; still; and; regardless of; whether (or not),,18
すぎて,to pass through,to pass through; to pass by; to go beyond; to pass (of time); to elapse; to have expired; to have ended; to be over; to exceed; to surpass; to be above; to be no more than ...; to be excessive; to be too much; to be too ...,,20
いる,to be (of animate objects),to be (of animate objects); to exist; to stay; to be ...-ing; to have been ...-ing,,21
に,"at (place, time)","at (place, time); in; on; during; to (direction, state); toward; into; for (purpose); because of (reason); for; with; by; from; as (i.e. in the role of); per; in; for; a (e.g. ""once a month""); and; in addition to; if; although",,22
も,too,too; also; in addition; as well; (not) either (in a negative sentence); both A and B; A as well as B; neither A nor B (in a negative sentence); even; as much as; as many as; as far as; as long as; no less than; no fewer than; even if; even though; although; in spite of; further; more; again; another; the other,,23
またがる,to straddle,to straddle; to sit astride; to mount; to extend over; to spread over; to span; to extend into,,29
と,if,"if; when; and; with; used for quoting (thoughts, speech, etc.); indicates a question",,30
には,to,to; for; on; in; at; in order to; for; as for; regarding; while it is (was) the case that ...; indeed ... (but); certainly ... (but),,31
もの,indicates reason or excuse,indicates reason or excuse; indicates dissatisfaction; indicates desire to be pampered or indulged,,33
あげ,to raise,"to raise; to elevate; to do up (one's hair); to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.); to land (a boat); to deep-fry; to show someone (into a room); to give; to send someone (away); to enrol (one's child in school); to enroll; to increase (price, quality, status, etc.); to develop (talent, skill); to improve; to make (a loud sound); to raise (one's voice); to earn (something desirable); to praise; to give (an example, etc.); to cite; to summon up (all of one's energy, etc.); to arrest; to nominate; to summon (for geishas, etc.); to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.); to bear (a child); to conduct (a ceremony, esp. a wedding); (of the tide) to come in; to vomit; to do for (the sake of someone else); to complete ...; to humbly do ...",,35
たい,sea bream (Sparidae),"sea bream (Sparidae); porgy; tai (species of reddish-brown Pacific sea bream, Pagrus major); Sparidae",,36
ある,to be,to be; to exist; to live; to have; to be located; to be equipped with; to happen; to come about; a certain ...; some ...,,41
って,you said,you said; he said; she said; they said; even if; do you seriously think that; I already told you; you should know by now that; of course; the said ...; said ...; says that ...; I hear that ...; as for the term ...; as for ...,,47
を,indicates direct object of action,"indicates direct object of action; indicates subject of causative expression; indicates an area traversed; indicates time (period) over which action takes place; indicates point of departure or separation of action; indicates object of desire, like, hate, etc.",,56
や,such things as ...,such things as ...; and ... and; the minute (that) ...; no sooner than ...; as soon as; be; is; o; oh; huh; what; hi; yes; what?; yes?; no?; is it?; isn't it?,,58
スピード,speed,speed,,60
そう,monk,monk; priest; sangha (the Buddhist community); Sangha,,65
な,don't,"don't; do; hey; listen; look; say; now, ...; well, ...; I tell you!; you know; wow; ooh; right?; isn't it?; doesn't it?; don't you?; don't you think?; indicates な-adjective",,66
なら,if,if; in case; if it is the case that; if it is true that; as for; on the topic of; if that's the case; if so; that being the case; be; is,,70
から,"from (e.g. time, place, numerical quantity)","from (e.g. time, place, numerical quantity); since; from (originator); by; because; since; out of (constituent, part); through (e.g. window, vestibule); after; since; expresses sympathy or warning",,71
まで,until (a time),until (a time); till; to; up to; to (a place or person); as far as; to (an extent); up to; so far as; even; only; merely,,74
ありがとう,thank you,thank you; thanks,,76
だ,be,be; is; did; (have) done; please; do,,82
ね,right?,"right?; isn't it?; doesn't it?; don't you?; don't you think?; hey; say; listen; look; come on; you know; you see; I must say; I should think; will you?; please; so, ...; well, ...; you see, ...; you understand?; I'm not sure if ...; I have my doubts about whether ...",,83
なんだと,what did you just say (to me)?,what did you just say (to me)?; what's that?,,86
はず,should (be),should (be); bound (to be); expected (to be); must (be); nock (of a bow); nock (of an arrow); nock-shaped grip (between thumb and forefinger); wooden frame on the tip of the mast of a Japanese ship that prevents the hawser from falling out,,88
のに,although,although; despite; even though; and yet; whereas; while; if only; I wish; in order to,,90
しまい,to finish,"to finish; to stop; to end; to put an end to; to bring to a close; to close (a business, etc.); to close down; to shut down; to shut up; to put away; to put back; to keep; to store; to do completely; to finish; to do accidentally; to do without meaning to; to happen to do",,92
きっと,surely,surely; undoubtedly; almost certainly; most likely (e.g. 90 percent); sternly; severely; having no slack; rigid; stiff; tight; suddenly; abruptly; instantly,,98
これから,from now on,from now on; after this; in the future; in future; from here; from this point,,99
ん,yes,"yes; yeah; uh huh; huh?; what?; not; 's; of; belonging to; at (place, time); in; on; during",,102
とは,indicates word or phrase being defined,"indicates word or phrase being defined; used for quoting (thoughts, speech, etc.); with; (not) as much as; (not) so much as; the fact that; to think that; such a thing as; if; when; and; with; used for quoting (thoughts, speech, etc.); indicates a question",,107
たく,very ...,very ...,,109
つま,wife,wife; garnish (esp. one served with sashimi); trimmings; accompaniment; side (remark),,114
ように,in order to (e.g. meet goal),in order to (e.g. meet goal); so that; take care (so as); hoping or wishing for something,,117
それなのに,and yet,and yet; despite this; but even so; but even then; however; nevertheless; for all that; notwithstanding that,,118
だろう,seems,seems; I think; I guess; I wonder; I hope; right?; don't you agree?; I thought you'd say that!,,120
いく,to go,"to go; to move (towards); to head (towards); to leave (for); to move through; to travel across; to walk along (e.g. a road); to go (well, badly, etc.); to proceed; to turn out; to get along; to do (in a particular way); to go (with; a choice); to try; to pass (of time, seasons, etc.); to go by; to stream; to flow; to die; to pass away; to reach (a stage, extent, age, etc.); to get to; to go (so far as ...); to reach (of information, instructions, wind, etc.); to arrive; to continue ...; to go on ...; to (progress) steadily; to gradually ...; to progressively ...; to have an orgasm; to come; to cum; to trip; to get high; to have a drug-induced hallucination",,123
として,to try to ...,to try to ...; to be about to do ...; to decide to ...; to take as; to treat as; to regard as; to use for; to suppose that (such) is the case; to assume; to decide that; to think that; to make into; to change into; to feel (e.g. after sound symbolism or psychological experience word); to look; to feel like; to intend; to have the intention,,130
いた,to be (of animate objects),to be (of animate objects); to exist; to stay; to be ...-ing; to have been ...-ing,,131
さえ,even,even; (if) only; just; as long as; besides; on top of that; what's more,,136
しまわない,to finish,"to finish; to stop; to end; to put an end to; to bring to a close; to close (a business, etc.); to close down; to shut down; to shut up; to put away; to put back; to keep; to store; to do completely; to finish; to do accidentally; to do without meaning to; to happen to do",,144
