title,meaning,alternative_meanings,readings,index
ヨホホホ,ヨホホホ,ヨホホホ,,1
ビン,bottle,bottle; jar; decanter; flagon; phial; vial,,9
クス,camphor tree (Cinnamomum camphora),camphor tree (Cinnamomum camphora); camphorwood; camphor laurel,,10
ゆく,to go,"to go; to move (towards); to head (towards); to leave (for); to move through; to travel across; to walk along (e.g. a road); to go (well, badly, etc.); to proceed; to turn out; to get along; to do (in a particular way); to go (with; a choice); to try; to pass (of time, seasons, etc.); to go by; to stream; to flow; to die; to pass away; to reach (a stage, extent, age, etc.); to get to; to go (so far as ...); to reach (of information, instructions, wind, etc.); to arrive; to continue ...; to go on ...; to (progress) steadily; to gradually ...; to progressively ...; to have an orgasm; to come; to cum; to trip; to get high; to have a drug-induced hallucination",,12
まかせ,"to leave (a matter, decision, etc. to someone)","to leave (a matter, decision, etc. to someone); to entrust (to someone); to entrust (someone) with; to leave (to chance, one's imagination, etc.); to let (take its own course); to let (happen); to give (oneself to something); to use (money, strength, spare time, etc.) to the full; to use freely; to use without reserve; to defeat",,15
にゃ,if not ...,if not ...; unless ...; have to (do); to; for; on; in; at,,19
かく,stone (of a fruit),"stone (of a fruit); pit; pip; core (of an organization, team, etc.); nucleus; heart; nuclear weapons; nucleus (of an atom); nucleus (of a cell); condensation nucleus; (planetary) core; ring (in a cyclic compound); kernel; core; nucleus (of a cultured pearl); like this; such; thus; in this way; status; position; rank; method; way; style; rule; regulation; law; case; figure (form of a syllogism); to scratch; to perspire; to shovel; to paddle; to write; to compose; to pen; to draw; to paint; to chip; to nick; to break; to crack; to lack; angle; square; cube; bishop; third degree (of the Japanese and Chinese pentatonic scale); Chinese ""horn"" constellation (one of the 28 mansions); jiao (monetary unit of China; one-tenth of a yuan); each; every; all; stroke (of a kanji, etc.)",,20
つむぎ,tsumugi,tsumugi; pongee; traditional rough-surfaced cloth woven from raw silk,,22
ドン,dong (Vietnamese currency),dong (Vietnamese currency); Don (Spanish honorific),,23
お,honorific/polite/humble prefix,honorific/polite/humble prefix,,26
しぶき,to splash,to splash; to spray; spray; splash,,30
かえて,to replace,to replace; to exchange; to interchange; to substitute; to change; to alter; to transform; to convert; to turn; to vary; to reform; to revise; to amend,,31
おれ,I,I; me; to be (animate); to be; to exist; to be ..ing; to (have the audacity to) do,,32
ぞ,adds force or indicates command,adds force or indicates command,,35
ドクロ,"skull (esp. weatherbeaten, used as symbol of death)","skull (esp. weatherbeaten, used as symbol of death); death's head; cranium",,49
きた,north,"north; the North; northern territories; North Korea; north wind; Kita Ward, Tokyo Metropolis; to come (spatially or temporally); to approach; to arrive; to come back; to do ... and come back; to come to be; to become; to get; to grow; to continue; to come from; to be caused by; to derive from; to come to (e.g. ""when it comes to spinach ...""); to wear (from the shoulders down); to put on; to take (the blame, responsibility); to bear",,51
おどる,to jump up,"to jump up; to spring up; to leap; to move around; to bounce up and down; to pound (of one's heart, e.g. with excitement); to throb; to be messy (of handwriting); to be untidy; to dance (orig. a hopping dance)",,54
ドラム,drum,drum; drums; drum kit,,55
ならせ,to accustom,to accustom; to train (e.g. one's ear); to tame; to domesticate; to train (an animal); to ring; to sound; to chime; to beat; to snort (nose); to snap (fingers); to crack (joints); to be popular; to be esteemed; to be reputed; to state; to insist; to complain; to fart (loudly); to make even; to make smooth; to make level; to flatten; to average,,56
おくびょう,cowardly,cowardly; timid; easily frightened,,57
ないで,to be,to be; to exist; to live; to have; to be located; to be equipped with; to happen; to come about,,59
なし,without,without; unacceptable; not alright; unsatisfactory; to build up; to establish; to form; to become (a state); to accomplish; to achieve; to succeed in; to change into; to do; to perform,,60
か,indicates a question,"indicates a question; or; whether or not; some- (e.g. something, someone); hmm; huh; very; -al; -ial; -ic; -ical; -ish; -y; in that way",,73
ふる,used item,"used item; secondhand item; old; used; previous; to fall (of rain, snow, ash, etc.); to come down; to form (of frost); to beam down (of sunlight or moonlight); to pour in; to visit (of luck, misfortune, etc.); to come; to arrive; to wave; to shake; to swing; to sprinkle; to throw (dice); to cast (actor); to allocate (work); to turn down (someone); to reject; to jilt; to dump; to abandon; to give up; to ruin; to add kana indicating a reading of a word; to slightly change headings; to change directions; to extract by broiling; to prepare an infusion of; to decoct; to carry with great vigor (e.g. a portable shrine); to bring up a topic; to lead to a topic; to replace; to substitute; to set up a joke for someone else",,77
くよくよ,to fret (over),to fret (over); to brood (about); to mope; to worry; worriedly; (fretting) constantly; (worrying) over this and that; (obsessing) to no end,,79
どうせ,anyhow,anyhow; in any case; at any rate; after all; at all; no matter what; at best; at most,,90
いつかは,sooner or later,sooner or later; in due time; in due course,,92
ホネ,bone,bone; frame; outline; core; backbone; spirit; fortitude; laborious; troublesome; difficult,,93
あて,aim,aim; object; purpose; end; expectations; prospects; hopes; something that can be relied upon; snack served with alcoholic drink; pad; guard; blow; strike; addressed to; per,,96
