title,meaning,alternative_meanings,readings,index
届け,to deliver,to deliver; to forward; to send; to report; to notify; to file notice (to the authorities); to give notice; to register; report; notification; registration,"とどけ,とどけ",11
海風,sea breeze,sea breeze,かいふう,13
気まかせ,doing as one pleases,doing as one pleases; following one's nose,きまかせ,14
潮,tide,tide; current; sea water; opportunity; chance; thin soup of fish or shellfish boiled in seawater,しお,16
夕日,evening sun,evening sun; setting sun,ゆうひ,17
騒ぐ,to make noise,to make noise; to make racket; to be noisy; to rustle; to swoosh; to make merry; to clamor; to clamour; to make a fuss; to kick up a fuss; to lose one's cool; to panic; to act flustered; to feel tense; to be uneasy; to be excited,さわぐ,18
唄,song,song; singing,うた,21
一丁,one leaf (of a book bound in Japanese style),"one leaf (of a book bound in Japanese style); one block of tofu; one serving (in a restaurant); one long and narrow thing (e.g. a gun, scissors, spade, hoe, inkstick, palanquin, candle, jinrikisha, shamisen, oar); one chō (unit of distance, approx. 109.09 m); one game; one task; well then; right",いっちょう,24
船出,setting sail,setting sail; putting out to sea; starting anew; embarking on something new,ふなで,27
金波銀波,sparkling waves,sparkling waves; waves sparkling in the moonlight or with the light of the rising (setting) sun,きんぱぎんぱ,29
達ゃ,in good health,in good health; healthy; well; fit; robust; strong; skilled; proficient; adept; master; expert,達ゃ,33
限り,limit,"limit; limits; bounds; degree; extent; scope; the end; the last; as long as ...; as far as ...; as much as ...; to the limits of ...; all of ...; unless ...; (not) included in ...; (not) part of ...; being very much (in a certain state); extreme amount (of a feeling, etc.); ... only (e.g. ""one time only"", ""today only""); end of one's life; final moments; death; funeral; burial",かぎり,36
我ら,we,we; us; I; me; you,われら,41
海賊,pirate,pirate; sea robber; buccaneer; freebooter,かいぞく,42
割って,to divide,"to divide; to cut; to halve; to separate; to split; to rip; to break; to crack; to smash; to dilute; to fall below; to discount; to step over (a line, etc.)",わって,43
枕,pillow,pillow; bolster; introduction (e.g. to a rakugo story); lead-in,まくら,44
寝ぐら,roost,roost; nest; pad; crib; one's home; sleeping place,ねぐら,45
帆,sail,sail,ほ,46
旗,flag,flag; banner (administrative division of Inner Mongolia),はた,47
蹴立てる,to kick up,to kick up,けたてる,48
嵐,storm,storm; tempest; uproar; hullabaloo; storm (e.g. of protest); winds (e.g. of change); pile of 3 cards of the same value in oicho-kabu,あらし,50
千里,1000 ri,1000 ri; (a) long distance,せんり,53
吹かれりゃ,to blow (of the wind),"to blow (of the wind); to blow (one's breath); to breathe out; to blow on (hot tea, candles, etc.); to puff; to play (a wind instrument); to blow (a whistle, trumpet, etc.); to whistle (a tune); to emit (smoke, fire, etc.); to spout; to spew; to puff out; to sprout; to put forth (buds); to appear (on the surface); to form; to be coated with (powder, rust, etc.); to burst out laughing; to burst into laughter; to brag; to talk big; to smelt; to mint",ふかれりゃ,58
宵,evening,evening; early night hours,よい,75
夢,dream,dream,ゆめ,76
会えない,to meet,to meet; to encounter; to see; to have an accident; to have a bad experience,あえない,78
月夜,moonlit night,moonlit night,つきよ,80
誰でも,anyone,anyone; anybody; everyone; everybody; whoever,だれでも,91
果て,the end,the end; the extremity; the limit; the limits; the result,はて,94
笑い話,funny story,funny story; funny anecdote,わらいばなし,98
