title,meaning,alternative_meanings,readings,index
口癖,pet saying,pet saying; favorite phrase; stock phrase; catchphrase; manner of talking,くちぐせ,2
譲り,inheritance,inheritance; something given or received,ゆずり,4
寂しく,lonely,lonely; lonesome; solitary; desolate,さびしく,7
手を振る,to wave one's hand,to wave one's hand,てをふる,11
消えて,to disappear,"to disappear; to vanish; to go out of sight; to go away; to become lost; to go out (of a fire, light, etc.); to die; to turn off (e.g. of a TV screen); to fade (of a feeling, impression, etc.); to vanish (e.g. of hope); to go away (e.g. of a smell, itchiness, sleepiness); to disappear; to fade away (e.g. of footsteps); to wear away (e.g. of an inscription); to rub out (of writing); to fade (e.g. of ink); to be lost (e.g. of a tradition); to die out; to disappear",きえて,14
描き,to draw,"to draw; to paint; to sketch; to depict; to describe; to picture in one's mind; to imagine; to form a certain shape (e.g. path of an action, appearance of an object, etc.)",えがき,19
居る,to be (animate),to be (animate); to be; to exist; to be ..ing; to (have the audacity to) do; to be (of animate objects); to exist; to stay; to be ...-ing; to have been ...-ing,"おる,いる",24
背中,back (of the body),back (of the body),せなか,27
無かった,nonexistent,nonexistent; not being (there); unowned; not had; unpossessed; unique; not; impossible; won't happen; not; to not be; to have not,なかった,32
見せて,to show,to show; to display; to make (something or someone) look ...; to present an appearance of ...; to make (something) worth watching; to be entertaining; to make a show of (doing); to do in a conspicuous manner; to do in view of others; to resolve to do; to do at any cost; to show others that one will ...,みせて,34
会い,to meet,to meet; to encounter; to see; to have an accident; to have a bad experience,あい,37
寝癖,bed hair,bed hair; hair disarranged during sleep; habit of moving around in one's sleep; sleeping habit,ねぐせ,39
何だか,(a) little,(a) little; somewhat; somehow,なんだか,44
生きて,to live,"to live; to exist; to make a living; to subsist; to be in effect; to be in use; to function; to come to life; to be enlivened; to be safe (in baseball, go, etc.)",いきて,45
幼い,very young,very young; little; childish; immature,おさない,48
顔つき,(outward) looks,(outward) looks; features; face; countenance; expression,かおつき,49
怒る,to get angry,to get angry; to get mad; to tell someone off; to scold; to be angular; to be square,おこる,51
愛おしい,lovely,lovely; dear; beloved; darling; dearest; pitiable; pathetic; piteous; poor,いとおしい,54
孤独,solitude,solitude; loneliness; isolation,こどく,55
影,shadow,"shadow; silhouette; figure; shape; reflection; image; ominous sign; light (stars, moon); trace; shadow (of one's former self); behind; background; other side",かげ,57
歩幅,step,step; pace; stride,ほはば,59
取り戻して,to take back,to take back; to get back; to regain; to recover; to restore; to recoup,とりもどして,61
潰れ,to be crushed,"to be crushed; to be squashed; to be smashed; to be destroyed; to be broken; to collapse; to go bankrupt; to go under; to fail; to collapse; to be ruined (of a plan); to be cancelled; to collapse (e.g. of a project); to fall through; to blow up; to be lost (of one's voice, eyesight, sense of smell, etc.); to cease functioning; to be taken up (of one's time); to be lost; to be wasted; to be missed (of a chance); to be lost; to be lost (of face, composure, etc.); to broken down (e.g. of one's courage); to be broken (of one's heart); to be worn down (of a pen nib, saw teeth, etc.); to wear away; to become dull; to get dead drunk",つぶれ,64
何か,something,something; some; any; somehow; for some reason; (so) what (are you trying to say)?; what (do you mean)?,なにか,67
抱きしめる,to hug someone close,to hug someone close; to hold someone tight; to embrace closely,だきしめる,72
許される,to permit,"to permit; to allow; to approve; to consent to; to forgive; to pardon; to excuse; to tolerate; to exempt (someone) from; to remit; to release; to let off; to acknowledge; to admit; to trust; to confide in; to let one's guard down; to give up (points in a game, distance in a race, etc.); to yield",ゆるされる,73
強く,strong,strong; potent; competent; domineering; tough; strong; brawny; powerful; healthy; rugged; good (at); skilled; knowledgeable; being able to handle; know how to deal (with); durable (against); resistant (to); resilient; firm; rigid; solid; intense; strong; fierce; high; dependable; trustworthy,つよく,75
台詞,"(spoken) line (in a play, film, comic, etc.)","(spoken) line (in a play, film, comic, etc.); one's lines; comment; remark; phrase; words; stock phrase; set phrase; cliché; platitude",せりふ,77
過る,to go by,to go by; to cross; to pass by; to flash across,よぎる,80
不思議,wonderful,wonderful; marvelous; strange; incredible; amazing; curious; miraculous; mysterious; strangely enough; oddly enough; for some reason; curiously,ふしぎ,81
素敵,lovely,lovely; wonderful; nice; great; fantastic; superb; cool,すてき,84
教わった,to be taught,to be taught; to learn; to take lessons in,おそわった,87
水たまり,puddle,puddle; pool of water,みずたまり,95
越えられたら,to cross over,to cross over; to cross; to pass through; to pass over (out of); to go beyond; to go past; to exceed; to surpass; to be more (than),こえられたら,97
会える,to meet,to meet; to encounter; to see; to have an accident; to have a bad experience,あえる,101
許されない,to permit,"to permit; to allow; to approve; to consent to; to forgive; to pardon; to excuse; to tolerate; to exempt (someone) from; to remit; to release; to let off; to acknowledge; to admit; to trust; to confide in; to let one's guard down; to give up (points in a game, distance in a race, etc.); to yield",ゆるされない,104
信じ,to believe,to believe; to believe in; to place trust in; to confide in; to have faith in,しんじ,108
先立つ,to lead,"to lead; to take the lead (in doing something); to precede; to go before; to take precedence; to die before (esp. one's spouse, parents, etc.); to be a prerequisite",さきだつ,115
沈まない,to sink,to sink; to go under; to submerge; to go down (e.g. sun); to set; to descend; to feel depressed; to become subdued; to become somber,しずまない,116
何故,why,why; how,なぜ,119
伸びて,to stretch,"to stretch; to extend; to lengthen; to grow (of hair, height, grass, etc.); to straighten out; to be flattened; to become smooth; to spread (of paint, cream, etc.); to stretch out (e.g. of a hand); to extend; to lose elasticity; to become slack; to become soggy (e.g. of noodles); to make progress; to develop; to expand; to increase; to improve; to be exhausted; to get groggy; to be stunned (by a blow); to pass out; to collapse",のびて,122
震えて,to shiver,to shiver; to shake; to quake; to tremble; to quaver; to quiver,ふるえて,127
言おう,to say,"to say; to utter; to declare; to name; to call; to go (e.g. ""the alarm went ping""); to make a noise",いおう,129
通り雨,shower,shower; passing rain,とおりあめ,132
涙,tear,tear; tears; lachrymal secretion; sympathy,なみだ,135
