title,meaning,alternative_meanings,readings,index
じゃない,be,be; is,,3
よね,isn't that right?,isn't that right?,,4
よかった,good,"good; excellent; fine; nice; pleasant; agreeable; sufficient; enough; ready; prepared; profitable (deal, business offer, etc.); beneficial; OK; all right; fine; no problem",,7
わたし,I,I; me,,9
いった,to go,"to go; to move (towards); to head (towards); to leave (for); to move through; to travel across; to walk along (e.g. a road); to go (well, badly, etc.); to proceed; to turn out; to get along; to do (in a particular way); to go (with; a choice); to try; to pass (of time, seasons, etc.); to go by; to stream; to flow; to die; to pass away; to reach (a stage, extent, age, etc.); to get to; to go (so far as ...); to reach (of information, instructions, wind, etc.); to arrive; to continue ...; to go on ...; to (progress) steadily; to gradually ...; to progressively ...; to have an orgasm; to come; to cum; to trip; to get high; to have a drug-induced hallucination",,12
ゆらゆら,swaying,swaying; swinging; rocking; shaking; wavering; flickering,,13
なんて,things like,things like; something like; someone like; such a thing as; (the fact) that; to think that; how ...!; what ...!; what?; what's that?,,16
わ,indicates emotion or admiration,indicates emotion or admiration; indicates emphasis; I; me; wah!; boo!,,19
それだけ,that much,that much; as much; to that extent; only that; that alone; no more than that; that is all (when finished speaking),,20
のせいで,because of,because of; owing to; due to,,22
わか,waka,"waka; classic Japanese poem, esp. a tanka, often 31 morae; youth; child (esp. of the young son of someone of high social standing); young; new",,27
てった,to shine,"to shine; to look slightly upward (of a noh mask; indicating joy, etc.)",,28
グッバイ,goodbye,goodbye; goodby; good-by,,29
バイバイ,bye-bye,bye-bye; goodbye; saying goodbye; parting,,30
じゃなくて,be,be; is,,35
さ,-ness,-ness; indicates assertion; come; come now,,36
だった,was,was; were,,40
でしょ,it seems,it seems; I think; I guess; I wonder; right?; don't you agree?,,41
しぐさ,gesture,gesture; movement; action; behavior; behaviour; bearing; mannerism; acting; performance,,43
ギザギザ,notches,notches; serration; indentation; jaggies (stair-step artifacts in computer images); notched; serrated; jagged; corrugated; milled,,48
ほど,extent,extent; degree; measure; limit; bounds; (span of) time; (a) distance; the state of; the status of; the condition of; about; around; approximately; or so; as much as ...; to the extent of ...; like ...; the more ... the more ...,,53
りつ,rate,rate; ratio; proportion; percentage,,60
ず,drawing,drawing; picture; diagram; figure; illustration; chart; graph; map; sight; scene,,61
ける,to kick,to kick; to refuse; to reject; to stamp (on the ground); to firmly press one's feet (against something),,62
こと,thing,"thing; matter; incident; occurrence; event; something serious; trouble; crisis; circumstances; situation; state of affairs; work; business; affair; after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to; nominalizing suffix; pretending to ...; playing make-believe ...; alias; also known as; otherwise known as; or; necessity; need; you should ...; I advise that you ...; it's important to ...",,72
バイ,bisexual,"bisexual; Japanese babylon (species of shelled mollusk, Babylonia japonica); Japanese ivory shell; spinning top (traditionally made from a Japanese babylon shell); bye",,79
