title,meaning,alternative_meanings,readings,index
合った,to come together,to come together; to merge; to unite; to meet; to fit; to match; to suit; to agree with; to be correct; to be profitable; to be equitable; to do ... to each other; to do ... together,あった,1
気のせい,(just) one's imagination,(just) one's imagination,きのせい,2
すれ違った,to pass (by) each other,to pass (by) each other; to brush past; to miss (meeting) each other; to fail to meet; to be at odds; to clash; to be in conflict,すれちがった,5
気づけば,to notice,to notice; to realize; to realise; to become aware (of); to perceive; to sense; to suspect; to regain consciousness; to come to (one's senses); to come round,きづけば,6
何気ない,casual,casual; unconcerned; nonchalant; indifferent; offhand; ordinary; normal; regular; everyday; unremarkable,なにげない,8
何気なく,unintentionally,unintentionally; calmly; inadvertently; innocently,なにげなく,10
奪われて,to take (by force),to take (by force); to take away; to snatch; to steal; to rob (someone) of; to dispossess of; to deprive of; to usurp; to absorb (one's attention); to fascinate; to captivate; to charm; to dazzle,うばわれて,11
嫌い,disliked,disliked; hated; disagreeable; tendency; smack (of); touch (of); distinction; discrimination,きらい,14
求めて,to want,to want; to wish for; to request; to demand; to require; to ask for; to seek; to search for; to look for; to pursue (pleasure); to hunt (a job); to find (a solution); to purchase; to buy,もとめて,17
求められない,to want,to want; to wish for; to request; to demand; to require; to ask for; to seek; to search for; to look for; to pursue (pleasure); to hunt (a job); to find (a solution); to purchase; to buy,もとめられない,18
言えなかった,to be possible to say,to be possible to say; to be able to say,"いえなかった,いえなかった",21
鼓動,beat,beat; palpitation; pulsation; throbbing,こどう,23
高まって,to rise,to rise; to swell; to be promoted,たかまって,24
曖昧,vague,vague; ambiguous; unclear; shady; disreputable; fuzzy,あいまい,32
片思い,unrequited love,unrequited love; one-sided love,かたおもい,33
越し,across,across; over; beyond; through; crossing; throughout (a period of time); for,ごし,38
あの人,he,he; she; that person; you,あのひと,39
すり減って,to be worn down,to be worn down; to be reduced,すりへって,46
触れて,to come (spatially or temporally),"to come (spatially or temporally); to approach; to arrive; to come back; to do ... and come back; to come to be; to become; to get; to grow; to continue; to come from; to be caused by; to derive from; to come to (e.g. ""when it comes to spinach ...""); to touch; to feel; to touch (with); to experience; to come in contact with; to perceive; to touch on (a subject); to allude to; to refer to; to mention; to bring up; to be in conflict with; to violate (law, copyright, etc.); to infringe; to proclaim; to make known; to spread (e.g. a rumour); to come (spatially or temporally); to approach; to arrive; to come back; to do ... and come back; to come to be; to become; to get; to grow; to continue; to come from; to be caused by; to derive from; to come to (e.g. ""when it comes to spinach ..."")","さわれて,こないで,ふれて,こないで",49
優しくしないで,to be kind to,to be kind to; to treat kindly,やさしくしないで,50
この手,this way (of doing),this way (of doing); this method; this sort (of thing); this type,このて,51
振り払える,to shake off,to shake off,ふりはらえる,52
強くない,strong,strong; potent; competent; domineering; tough; strong; brawny; powerful; healthy; rugged; good (at); skilled; knowledgeable; being able to handle; know how to deal (with); durable (against); resistant (to); resilient; firm; rigid; solid; intense; strong; fierce; high; dependable; trustworthy,つよくない,54
