title,meaning,alternative_meanings,readings,index
みて,to see,"to see; to look; to watch; to view; to observe; to examine; to look over; to assess; to check; to judge; to look after; to attend to; to take care of; to keep an eye on; to experience; to meet with (misfortune, success, etc.); to try ...; to have a go at ...; to give ... a try; to see (that) ...; to find (that) ...",,1
だから,so,so; therefore; accordingly; consequently; on those grounds; that is why; for that reason; like I said; I told you already; be; is; did; (have) done; please; do,,4
いざなう,to invite,to invite; to ask (someone to do); to call (for); to take (someone) along; to tempt; to lure; to entice; to seduce,,5
べき,should,should; must; ought to,,6
へと,to,to; towards; for,,7
へ,to,to; towards; for,,10
くれる,to get dark,"to get dark; to grow dark; to end (of a day, year, season, etc.); to come to an end; to close; to be sunk in (e.g. despair); to be lost in (e.g. thought); to be overcome with",,14
やさしく,tender,tender; kind; gentle; graceful; affectionate; amiable; easy; plain; simple,,15
もしも,if,if; in case; supposing,,21
としても,even if ...,even if ...; even supposing that ...; also as ...; also for ...; also from the position of ...,,23
いけない,bad,"bad; wrong; naughty; must not (do, be); should not; ought not to; useless; no good; bad; hopeless; beyond hope; unfortunate; a shame; a pity; unable to drink (alcohol); so as not to ...; so that ... (won't); in case ...; for fear that ...; lest ...",,27
ねば,if not ...,if not ...; unless ...,,31
ならない,to become,to become; to get; to grow; to turn; to reach; to attain; to result in; to turn out; to end up; to prove (to be); to consist of; to be composed of; to be made up of; to be completed; to be realized; to succeed; to be attained; to be accomplished; to change (into); to turn (into); to transform; to come (to do); to begin (to do); to grow (to do); to come to; to amount to; to add up to; to make; to play (the part of); to act as; to be used for; to be useful for; to serve as; to be promoted; to do ...; cannot help (feeling); unbearably; awfully; irresistibly; must not ...; should not ...; must ...; have to ...; ought to ...; cannot; unable to; not,,32
