image,readingText,audio,answerText,answerTextFurigana,sortOrder,originalText
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_20_0.21.07.780-0.21.08.340.jpg"">",出かける,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_20_0.21.07.780-0.21.08.340.mp3],I'm stepping out.,出[で]かける,8660,出かける
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fullmetal%20Alchemist%20Brotherhood/media/A_FullmetalAlchemistBrotherhood_12_0.05.38.130.jpg"">",出かけたわ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fullmetal%20Alchemist%20Brotherhood/media/A_FullmetalAlchemistBrotherhood_12_0.05.37.610-0.05.38.650.mp3],He left.,出[で]かけたわ,8660,出かける
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kino's%20Journey/media/Kino_no_Tabi_8_0.19.15.010.jpg"">",出かけるぞ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kino's%20Journey/media/Kino_no_Tabi_8_0.19.14.350-0.19.15.670.mp3],Heading out.,出[で]かけるぞ,8660,出かける
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_22_0.02.40.315.jpg"">",十二月二十日…,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_22_0.02.39.140-0.02.41.490.mp3],December 20th...,十二月[じゅうにがつ]二十 日[にち]…,7565,二十日
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_22_0.02.33.305.jpg"">",十二月二十日、朝顏丘前,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Death%20Note/media/A_DeathNote_22_0.02.31.580-0.02.35.030.mp3],"It was on December 20th, in front of Asagao Hill.",十二月[じゅうにがつ]二十 日[にち]、 朝[あさ] 顏[かお] 丘[おか] 前[まえ],7565,二十日
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_160_0.08.42.781.jpg"">",これでトータル 20ポイント！ 完全試合の１日目！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_160_0.08.40.424-0.08.45.137.mp3],That brings their total to 20 points! A perfect first day!,これでトータル 20ポイント！  完全試合[かんぜんじあい]の１ 日[にち] 目[め]！,7565,二十日
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fullmetal%20Alchemist%20Brotherhood/media/A_FullmetalAlchemistBrotherhood_40_0.16.52.190.jpg"">",ご主人様！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fullmetal%20Alchemist%20Brotherhood/media/A_FullmetalAlchemistBrotherhood_40_0.16.51.660-0.16.52.720.mp3],Master!,ご 主人様[しゅじんさま]！,2715,主人
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_15_0.12.26.630-0.12.27.730.jpg"">",誰が主人だ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Nisekoi/media/Nisekoi_-_15_0.12.26.630-0.12.27.730.mp3],Who are you calling your husband?!,誰[だれ]が 主人[しゅじん]だ,2715,主人
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_19_0.16.21.880-0.16.23.140.jpg"">",は　ご主人の,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_19_0.16.21.880-0.16.23.140.mp3],"Oh, your husband's...",は　ご 主人[しゅじん]の,2715,主人
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/No%20Game%20No%20Life/media/A_NoGameNoLife__10_0.12.12.098.jpg"">",空,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/No%20Game%20No%20Life/media/A_NoGameNoLife__10_0.12.11.493-0.12.12.702.mp3],Sora!,空[そら],601,空
