id,text
1,一
2,ハ
8,亠
8763,
8761,
12,入
7,二
15,十
5,丿
13,力
3,丶
8762,
4,七
6,亅
19,女
18,大
14,勹
9,人
20,山
25,工
23,木
16,口
10,ト
11,九
22,日
21,川
440,一
444,人
445,入
452,口
446,八
454,女
443,七
447,力
441,二
449,三
453,大
455,山
456,川
448,十
442,九
450,上
451,下
457,工
2473,二
2474,二つ
2486,三
2487,三つ
2504,山
2505,ふじ山
2480,入る
2482,八
2483,八つ
2467,一
2468,一つ
2475,人
2476,二人
2477,一人
2488,三人
2469,七
2470,七つ
2506,川
2493,下
2495,下げる
2496,下さい
2484,力
8958,力いっぱい
2499,大きい
2500,大きさ
2501,大した
2502,大人
2503,女
7560,人工
2497,口
2498,入り口
3402,人口
2485,十
34,子
41,手
49,中
39,五
37,尸
27,丁
36,弓
54,石
465,了
471,六
51,田
50,本
17,土
44,止
40,天
55,立
48,王
42,文
46,火
29,冂
140,ム
30,又
28,儿
32,千
43,月
126,牛
31,メ
856,々
45,水
467,丸
24,刀
33,夕
8733,入力
47,犬
35,小
53,目
478,木
476,日
483,出
52,白
2492,上る
26,ナ
38,彡
468,才
2489,上
2490,上げる
2471,九
2472,九つ
485,四
459,土
472,円
458,刀
484,右
486,左
464,丁
463,小
470,五
460,千
479,水
481,犬
477,月
487,本
491,白
469,中
480,火
490,田
488,正
482,王
489,玉
475,文
461,夕
474,手
494,立
473,天
492,目
2508,土
2519,〜才
462,子
2557,出る
2558,出口
2507,刀
2527,六つ
2530,十六
2531,六
2524,五十
2525,五つ
2526,五
2517,丸
2518,丸い
2523,五日
2529,六日
2541,日
7515,二日
7561,一日
7562,七日
7563,三日
7614,九日
7615,八日
7616,十日
2561,四
2546,木
2550,犬
2532,〜円
2534,円い
2548,火
2549,火山
2535,天
2536,天才
2520,中
2567,左
2569,本
2570,日本
2537,手
2538,下手
2539,上手
2581,白
2582,白人
2522,五月
2528,六月
2542,月
2543,十月
2544,一月
2545,二月
2562,四月
2547,水
7728,水中
2583,目
2552,王
2554,女王
2555,王女
2559,右
8693,左右
2540,文
2515,小さい
2586,立つ
2521,中々
7517,人々
2571,正しい
2572,正す
2509,千
2510,一千
2533,千円
63,扌
60,夂
87,幺
210,生
102,巾
68,父
71,用
67,毛
69,古
500,内
504,友
514,止
520,台
521,外
8659,大人しい
8735,女の人
62,广
64,元
73,戸
238,今
8764,
66,方
57,匕
61,干
505,太
72,矢
495,万
