image,readingText,audio,answerText,answerTextFurigana,sortOrder,originalText
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_158_0.19.16.127.jpg"">",ぜ… 全滅！ 一瞬で首位に立った！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_158_0.19.14.250-0.19.18.004.mp3],"E-Everyone else is wiped out! In an instant, he rocketed to first place!",ぜ…  全滅[ぜんめつ]！  一瞬[いっしゅん]で 首位[しゅい]に 立[た]った！,0,首位
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_158_0.13.15.892.jpg"">",まずは ナルプディングが首位に立った！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_158_0.13.14.432-0.13.17.352.mp3],"At the moment, Nalpudding is in first place!",まずは ナルプディングが 首位[しゅい]に 立[た]った！,0,首位
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kakegurui/media/Kakegurui_S2_09_0.09.51.295.jpg"">",中学生にして　高校の全国模試　首位常連,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kakegurui/media/Kakegurui_S2_09_0.09.49.370-0.09.53.270.mp3],She was always getting first at the national college mock exams.,中学生[ちゅうがくせい]にして　 高校[こうこう]の 全国[ぜんこく] 模試[もし]　 首位[しゅい] 常連[じょうれん],0,首位
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/No%20Game%20No%20Life/media/A_NoGameNoLife__02_0.14.43.582.jpg"">",活気がないというか,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/No%20Game%20No%20Life/media/A_NoGameNoLife__02_0.14.42.393-0.14.44.771.mp3],to determine the next king. The place is lifeless.,活気[かっき]がないというか,1,活気
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_096_0.02.14.427.jpg"">",いい具合の活気ですね,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_096_0.02.13.405-0.02.15.448.mp3],That's an excellent spirit they have.,いい 具合[ぐあい]の 活気[かっき]ですね,1,活気
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_01_0.13.24.210-0.13.26.400.jpg"">",あのお店活気があるね,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Is%20The%20Order%20a%20Rabbit/media/Is_The_Order_a_Rabbit_S03_-_01_0.13.24.210-0.13.26.400.mp3],That place is really booming!,あの お 店[みせ] 活気[かっき]があるね,1,活気
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Mononoke/media/Mononoke_10_0.02.35.925.jpg"">",（門脇　栄(かどわきさかえ)）先生　ご用意が,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Mononoke/media/Mononoke_10_0.02.34.724-0.02.37.076.mp3],"Thank you, thank you, thank you. Sir, we should get going. Sir, we should get going.",（ 門脇[かどわき]　 栄[さかえ](かどわきさかえ)） 先生[せんせい]　ご 用意[ようい]が,2,栄
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Mononoke/media/Mononoke_10_0.18.01.166.jpg"">",門脇　栄　40ちょうど　南署(みなみしょ)勤務だ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Mononoke/media/Mononoke_10_0.17.59.114-0.18.03.168.mp3],"Kadowaki Shakei, forty years old. I’m a police officer.",門脇[かどわき]　 栄[さかえ]　 40ちょうど　 南[みなみ] 署[しょ](みなみしょ) 勤務[きんむ]だ,2,栄
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Mononoke/media/Mononoke_12_0.17.31.062.jpg"">",（門脇　栄(かどわきさかえ)）へえ～　こりゃ　自殺だな　自殺,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Mononoke/media/Mononoke_12_0.17.28.960-0.17.33.114.mp3],"Yeah, this is a suicide. A suicide, I’m sure.",（ 門脇[かどわき]　 栄[さかえ](かどわきさかえ)）へえ～　こりゃ　 自殺[じさつ]だな　 自殺[じさつ],2,栄
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kill%20la%20Kill/media/A_Kill_la_Kill_20_0.13.43.051.jpg"">",速い　速い　速い　速ーい！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kill%20la%20Kill/media/A_Kill_la_Kill_20_0.13.41.570-0.13.44.532.mp3],"Wow, so fast!",速[はや]い　 速[はや]い　 速[はや]い　 速[はや]ーい！,3,速
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Lucky%20Star/media/luckystar-nodup_11_0.16.11.485.jpg"">",今スグ最高速で帰るっ!!!,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Lucky%20Star/media/luckystar-nodup_11_0.16.10.600-0.16.12.370.mp3],I'm coming home right now!,今[いま]スグ 最[さい] 高速[こうそく]で 帰[かえ]るっ!!!,3,速
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hunter%20×%20Hunter/media/HUNTER×HUNTER_36_0.07.13.601.jpg"">",♪♪～ ぐはっ！ ♪♪～ ♪♪～ あ～！　うっ！ ♪♪～ （コッコ）　速い！　速い！　速～い！,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hunter%20×%20Hunter/media/HUNTER×HUNTER_36_0.07.03.357-0.07.23.844.mp3],"Fast, fast, fast!",♪♪～ぐはっ！♪♪～♪♪～あ～！　うっ！♪♪～（コッコ）　 速[はや]い！　 速[はや]い！　 速[はや]～い！,3,速
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kill%20la%20Kill/media/A_Kill_la_Kill_01_0.16.42.606.jpg"">",人質とはまた古典的な手だな,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Kill%20la%20Kill/media/A_Kill_la_Kill_01_0.16.41.250-0.16.43.961.mp3],Using a hostage is a classic strategy.,人質[ひとじち]とはまた 古典的[こてんてき]な 手[て]だな,4,古典的
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hyouka/media/3_0.23.39.870-0.23.43.240.jpg"">",歴史的遠近法の彼方で古典になていく,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hyouka/media/3_0.23.39.870-0.23.43.240.mp3],"and it will all be viewed from a historical perspective, as a classic.",歴史的[れきしてき] 遠近法[えんきんほう]の 彼方[かなた]で 古典[こてん]になていく,4,古典的
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_03_0.09.00.769.jpg"">",これが この国の 古典的な民族衣装なんですね,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Haruhi%20Suzumiya/media/Z.SUZUMIYA_03_0.08.58.799-0.09.02.858.mp3],So this is the kind of clothing that this country's people wore in the past.,これが この 国[くに]の  古典的[こてんてき]な 民族[みんぞく] 衣装[いしょう]なんですね,4,古典的
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_14_0.16.26.390.jpg"">",僕　必要,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Shirokuma%20Cafe/media/A_Shirokuma_Cafe_14_0.16.25.550-0.16.27.230.mp3],Am I really needed in this?,僕[ぼく]　 必要[ひつよう],5,必要
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_107_0.05.20.401.jpg"">",必要性がない,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fairy%20Tail/media/Fairy_Tail_107_0.05.19.650-0.05.21.151.mp3],They have no use!,必要性[ひつようせい]がない,5,必要
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Zero/media/Fate_Zero_07_0.05.55.820.jpg"">",必要不可欠だ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Fate%20Zero/media/Fate_Zero_07_0.05.54.940-0.05.56.700.mp3],Of course you do!,必要[ひつよう] 不可欠[ふかけつ]だ,5,必要
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Lucky%20Star/media/luckystar-nodup_24_0.09.40.145.jpg"">",なんか変なのが混じってな,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Lucky%20Star/media/luckystar-nodup_24_0.09.39.130-0.09.41.160.mp3],I think I heard some stuff I shouldn't have.,なんか 変[へん]なのが 混[ま]じってな,6,交じる
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hunter%20×%20Hunter/media/HUNTER×HUNTER_88_0.09.37.798.jpg"">",《信号が混じって 訳が分かんねえ》,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hunter%20×%20Hunter/media/HUNTER×HUNTER_88_0.09.36.296-0.09.39.299.mp3],"With all these messages,  I can't tell what's happening...",《 信号[しんごう]が 混[ま]じって 訳[わけ]が 分[わ]かんねえ》,6,交じる
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hyouka/media/Hyouka_07_0.07.21.870-0.07.24.480.jpg"">",血液に水分が混じり合ったら危険だろ,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Hyouka/media/Hyouka_07_0.07.21.870-0.07.24.480.mp3],Getting your blood diluted with water is dangerous.,血液[けつえき]に 水分[すいぶん]が 混[ま]じり 合[あ]ったら 危険[きけん]だろ,6,交じる
"<img src=""https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_04_0.24.07.950-0.24.08.990.jpg"">",買えない問題集,[sound:https://us-southeast-1.linodeobjects.com/immersionkit/media/anime/Chobits/media/Chobits_04_0.24.07.950-0.24.08.990.mp3],This is a pricy book of problems I can't buy.,買[か]えない 問題集[もんだいしゅう],7,集
